Departure,Return,Bike,Departure station,Return station,Membership Type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration,Number of stopovers
2/1/2019 0:00,2/1/2019 0:00,67,0004 Yaletown-Roundhouse Station,0143 South False Creek Seawall,Vancity Community Pass,4661,1694,3713,3937,9,11,0,0
2/1/2019 0:00,2/1/2019 0:00,1196,0004 Yaletown-Roundhouse Station,0052 Cambie & Water,365 Day Founding Plus,2227,701,4059,4240,9,11,0,0
2/1/2019 0:00,2/1/2019 0:00,1532,0004 Yaletown-Roundhouse Station,0096 Nicola & Robson,365 Day Pass Standard SALE,2203,837,4045,4188,10,12,0,0
2/1/2019 0:00,2/1/2019 0:00,801,0004 Yaletown-Roundhouse Station,0050 Bute & Comox,365 Day Founding Standard,1447,676,3750,3866,9,10,0,0
2/1/2019 1:00,2/1/2019 1:00,779,0143 South False Creek Seawall,0143 South False Creek Seawall,Vancity Community Pass,0,16,3945,4032,10,10,0,0
2/1/2019 1:00,2/1/2019 1:00,67,0143 South False Creek Seawall,0154 Kitsilano Beach Park,Vancity Community Pass,3598,1884,3808,3911,10,9,0,0
2/1/2019 1:00,2/1/2019 1:00,779,0143 South False Creek Seawall,0154 Kitsilano Beach Park,Vancity Community Pass,3683,1828,3892,4019,10,9,0,0
2/1/2019 1:00,2/1/2019 1:00,1837,0060 Bidwell & Burnaby,0083 Aquatic Centre,365 Standard,1033,220,3985,4111,9,11,0,0
2/1/2019 1:00,2/1/2019 1:00,591,0060 Bidwell & Burnaby,0083 Aquatic Centre,365 Standard,1041,223,3818,3947,9,11,0,0
2/1/2019 1:00,2/1/2019 1:00,67,0154 Kitsilano Beach Park,0196 Drake & Hornby,Vancity Community Pass,2223,1023,3797,3914,10,9,0,0
2/1/2019 1:00,2/1/2019 2:00,779,0154 Kitsilano Beach Park,0161 Alexander & Dunlevy,Vancity Community Pass,7512,3514,3916,4067,9,10,0,0
2/1/2019 1:00,2/1/2019 1:00,409,0019 Robson & Hornby,0096 Nicola & Robson,365 Day Founding Plus,1061,345,3631,3681,9,11,0,0
2/1/2019 2:00,2/1/2019 3:00,779,0161 Alexander & Dunlevy,0082 Richards & Davie,Vancity Community Pass,4435,3328,3974,4085,10,16,554,1
2/1/2019 3:00,2/1/2019 3:00,1653,0055 Keefer & Columbia,0008 8th & Ash,365 Day Pass Standard SALE,2634,596,3879,4050,9,10,0,0
2/1/2019 4:00,2/2/2019 8:00,799,0176 10th & Ontario,0165 Columbia & 4th,Archived Monthly Plus,920,253,3735,3603,8,6,0,0
2/1/2019 4:00,2/1/2019 4:00,767,0087 Broughton & Burnaby,0024 Hornby & Pender,365 Day Founding Plus,2213,555,3889,4064,8,11,0,0
2/1/2019 5:00,2/1/2019 5:00,1782,0060 Bidwell & Burnaby,0014 Canada Place,365 Day Pass Plus SALE,3165,819,3953,4150,8,8,0,0
2/1/2019 5:00,2/1/2019 5:00,651,0047 Chilco & Beach,0024 Hornby & Pender,365 Day Founding Plus,2858,602,3864,4008,8,10,0,0
2/1/2019 6:00,2/1/2019 6:00,1527,0148 Creekside Park North,0006 Olympic Village Station,365 Day Founding Plus,1866,374,3916,4069,8,11,0,0
2/1/2019 6:00,2/1/2019 6:00,1214,0199 Georgia & Main,0015 Granville & Georgia,365 Standard,1821,558,3837,4022,8,10,0,0
2/1/2019 6:00,2/1/2019 6:00,662,0187 Bute & Davie,0088 Harwood & Bute,Archived Monthly Standard,289,114,3821,3898,8,8,0,0
2/1/2019 6:00,2/1/2019 6:00,1015,0088 Harwood & Bute,0204 York & Yew,Archived Monthly Standard,2495,608,3980,4121,8,10,0,0
2/1/2019 6:00,2/1/2019 6:00,1192,0082 Richards & Davie,0167 Cordova & Columbia,365 Day Founding Standard,2425,614,3840,4019,8,11,0,0
2/1/2019 6:00,2/1/2019 6:00,1225,0001 10th & Cambie,0112 10th & Oak,365 Day Founding Standard,914,287,3826,3876,8,8,0,0
2/1/2019 6:00,2/1/2019 6:00,1061,0078 Nelson & Mainland,0167 Cordova & Columbia,365 Day Pass Standard SALE,1948,442,3823,3982,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,664,0005 Dunsmuir & Beatty,0011 Ontario & Seawall,365 Corporate Standard,2013,418,3926,4064,9,12,0,0
2/1/2019 7:00,2/1/2019 7:00,1868,0137 Beach & Seymour,0005 Dunsmuir & Beatty,365 Plus,2042,692,3948,4085,9,10,0,0
2/1/2019 7:00,2/1/2019 7:00,972,0063 Robson & Granville,0065 Cypress & Cornwall,365 Plus,2583,725,3835,3976,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,758,0138 Richards & Helmcken,0052 Cambie & Water,365 Day Pass Standard SALE,1984,390,3789,4045,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,897,0027 Beatty & Nelson,0039 Helmcken & Burrard,365 Corporate Plus,1364,396,3826,3974,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,1090,0196 Drake & Hornby,0002 Burrard Station,365 Day Founding Plus,1376,464,3721,3863,8,8,0,0
2/1/2019 7:00,2/1/2019 7:00,1078,0167 Cordova & Columbia,0078 Nelson & Mainland,365 Day Pass Standard SALE,2091,501,3805,3985,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,530,0287 Carolina & Great Northern Way,0006 Olympic Village Station,365 Corporate Plus,2327,585,3789,3971,4,8,0,0
2/1/2019 7:00,2/1/2019 7:00,1192,0167 Cordova & Columbia,0004 Yaletown-Roundhouse Station,365 Day Founding Standard,2352,557,3885,4014,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,1833,0167 Cordova & Columbia,0081 7th & Heather,365 Plus,3075,949,3653,3860,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,801,0050 Bute & Comox,0161 Alexander & Dunlevy,365 Standard,3593,932,3735,3921,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,608,0133 Ontario & 16th,0001 10th & Cambie,365 Standard,1355,344,3932,4119,8,10,0,0
2/1/2019 7:00,2/1/2019 8:00,1231,0173 1st & Columbia,0019 Robson & Hornby,365 Plus,104,3459,3632,3729,10,9,0,0
2/1/2019 7:00,2/1/2019 7:00,2045,0174 1st & Ontario,0174 1st & Ontario,365 Standard,2,60,3958,4019,9,8,0,0
2/1/2019 7:00,2/1/2019 8:00,1831,0174 1st & Ontario,0224 Pender & Commercial,365 Standard,3747,946,3968,4184,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,523,0130 Heather & 16th,0008 8th & Ash,365 Plus,1016,257,3831,3935,8,10,0,0
2/1/2019 7:00,2/1/2019 7:00,129,0037 Hornby & Nelson,0014 Canada Place,Archived Monthly Standard,1253,380,3803,3950,10,11,0,0
2/1/2019 7:00,2/1/2019 8:00,444,0196 Drake & Hornby,0221 Glen & Union,365 Day Pass Standard SALE,4043,961,3993,4177,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,1070,0187 Bute & Davie,0036 Bute & Robson,365 Day Founding Plus,628,212,3911,4042,8,8,0,0
2/1/2019 7:00,2/1/2019 8:00,305,0133 Ontario & 16th,0073 Ontario & 5th,Archived Monthly Standard,1157,363,3682,3843,8,10,0,0
2/1/2019 7:00,2/1/2019 8:00,642,0002 Burrard Station,0196 Drake & Hornby,365 Plus,1345,528,4008,4117,9,11,0,0
2/1/2019 7:00,2/1/2019 7:00,59,0273 Victoria & 4th,0273 Victoria & 4th,365 Day Pass Plus SALE,0,33,3764,3892,8,8,0,0
2/1/2019 7:00,2/1/2019 8:00,1349,0273 Victoria & 4th,0014 Canada Place,365 Day Pass Plus SALE,5799,1041,3784,3997,8,12,0,0
2/1/2019 8:00,2/1/2019 8:00,1923,0229 Keefer & Princess,0232 Britannia Parking Lot,Vancity Community Pass,1850,386,3980,4138,8,10,0,0
2/1/2019 8:00,2/1/2019 8:00,1462,0132 14th & Ontario,0001 10th & Cambie,365 Day Pass Plus SALE,1161,228,3729,3829,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,1795,0087 Broughton & Burnaby,0002 Burrard Station,365 Standard,1668,489,3924,4095,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,1520,0079 Nelson & Richards,0193 Science World,365 Standard,2046,539,3792,3913,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,90,0033 Robson & Denman,0005 Dunsmuir & Beatty,24 Hour,2628,1292,3866,4000,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,520,0193 Science World,0010 Stamp's Landing,365 Day Pass Plus SALE,1611,393,3929,4142,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,82,0011 Ontario & Seawall,0011 Ontario & Seawall,365 Day Founding Standard,0,65,3960,4035,9,8,0,0
2/1/2019 8:00,2/1/2019 8:00,763,0166 Alder & 11th,0001 10th & Cambie,365 Corporate Plus,1366,378,3769,3861,8,11,0,0
2/1/2019 8:00,2/1/2019 8:00,992,0033 Robson & Denman,0005 Dunsmuir & Beatty,24 Hour,2595,1110,3710,3882,9,9,0,0
2/1/2019 8:00,2/1/2019 8:00,82,0011 Ontario & Seawall,0125 Hamilton & Robson,365 Day Founding Standard,2615,710,3939,4148,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,1225,0112 10th & Oak,0068 Cypress & Broadway,365 Day Founding Standard,1737,477,3826,3879,9,9,0,0
2/1/2019 8:00,2/2/2019 8:00,1387,0070 10th & Granville,0112 10th & Oak,365 Corporate Plus,971,253,3697,3694,9,6,0,0
2/1/2019 8:00,2/1/2019 8:00,1422,0147 Chestnut & McNicoll,0154 Kitsilano Beach Park,365 Corporate Standard,912,188,3858,3953,8,10,0,0
2/1/2019 8:00,2/1/2019 8:00,1058,0087 Broughton & Burnaby,0021 Cordova & Granville,365 Day Founding Plus,2481,680,3990,4146,9,12,0,0
2/1/2019 8:00,2/1/2019 8:00,144,0176 10th & Ontario,0001 10th & Cambie,VIP,753,162,3869,3974,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,1653,0008 8th & Ash,0171 5th & Yukon,90 Day,704,237,3877,4021,9,10,0,0
2/1/2019 8:00,2/1/2019 8:00,664,0011 Ontario & Seawall,0053 Keefer & Abbott,365 Corporate Standard,1349,363,3872,4092,9,11,0,0
2/1/2019 8:00,2/1/2019 8:00,2006,0032 Comox & Denman,0089 Burrard & Drake,365 Standard,1668,567,3989,4085,8,10,0,0
